@RELATION "composer dataset"

@ATTRIBUTE filename STRING
@ATTRIBUTE MFCC-0 REAL
@ATTRIBUTE MFCC-1 REAL
@ATTRIBUTE MFCC-2 REAL
@ATTRIBUTE MFCC-3 REAL
@ATTRIBUTE MFCC-4 REAL
@ATTRIBUTE MFCC-5 REAL
@ATTRIBUTE MFCC-6 REAL
@ATTRIBUTE MFCC-7 REAL
@ATTRIBUTE MFCC-8 REAL
@ATTRIBUTE MFCC-9 REAL
@ATTRIBUTE MFCC-10 REAL
@ATTRIBUTE MFCC-11 REAL
@ATTRIBUTE MFCC-12 REAL
@ATTRIBUTE flatness-mean REAL
@ATTRIBUTE flatness-variance REAL
@ATTRIBUTE rolloff-mean REAL
@ATTRIBUTE rolloff-variance REAL
@ATTRIBUTE centroid-mean REAL
@ATTRIBUTE centroid-variance REAL
@ATTRIBUTE flux-mean REAL
@ATTRIBUTE flux-variance REAL
@ATTRIBUTE energy-mean REAL
@ATTRIBUTE energy-variance REAL
@ATTRIBUTE ZCR-mean REAL
@ATTRIBUTE ZCR-variance REAL
@ATTRIBUTE flatness-std REAL
@ATTRIBUTE flatness-hmean REAL
@ATTRIBUTE period {baroque, classical, romantic}

@DATA
83,-71.28196,-66.390862,-67.316391,-63.753716,-71.756554,-66.89035,-69.930107,-61.513027,-69.453583,-60.836357,-65.868782,-64.334946,-65.237686,0.34279859634249699,0.0030506136459693351,2960.452961672474,1397329.7599825177,6681.0354853625267,1819409.8339510611,446.3070630687547,339009.30544869887,475.29154208596532,4264075.8279712023,0.033720328832752611,0.00011973227240641727,0.055232360496083592,0.33419112421102737,baroque
20,-61.209011,-38.651062,-43.503269,-43.434532,-44.533329,-43.108738,-43.940586,-38.653507,-42.023342,-38.842175,-40.303406,-48.228115,-47.874382,0.30458771984590099,0.002194541709975266,2686.4111498257839,2829327.538272894,6586.6479842850185,1986896.2837431298,260.07799453823964,46491.695657410273,20465.213635790315,9745994479.3905678,0.040767609126984128,0.00020490794668275052,0.04684593589603335,0.29765852597523967,baroque
96,-51.935215,-50.696804,-42.788834,-39.945004,-40.491829,-41.245674,-47.856133,-42.062435,-40.782169,-43.626858,-39.215435,-37.586349,-38.756813,0.31014530713757571,0.0032782273566415595,3883.6236933797909,4091073.2799961152,7206.8997917574043,1393958.3763811374,386.29353321818155,375948.24103170662,418.80187317397986,4055032.753408181,0.045633408343012001,0.00039465456223438533,0.057255806313784102,0.29961353635713772,baroque
91,-53.347717,-48.840855,-50.633625,-50.353855,-52.014427,-45.389194,-45.266869,-43.403198,-48.69677,-46.636276,-45.033012,-48.128952,-48.442368,0.20673423846862687,0.0008458337800651668,5221.4285714285716,2947598.307615729,6467.0574418561564,1142168.3702833811,63.684733533750794,4290.2112594463597,60.139846928760065,81774.93137460266,0.079303075396825393,0.00030541983617095704,0.029083221624592533,0.20287876487004411,baroque
171,-60.412594,-56.181561,-48.003155,-47.598503,-49.764938,-46.234859,-43.531448,-47.040241,-54.164558,-50.374363,-50.866646,-49.903503,-48.6175,0.20956817696226507,0.0011593456608019969,5171.0801393728225,2363797.7880027681,7173.9616366514529,1086562.9210687838,81.605179507004124,6104.8338086691892,47.029543475598345,61259.885635592793,0.083067169957413867,0.00038787830617887921,0.034049165346627761,0.20429985404839401,baroque
148,-60.851894,-55.311562,-61.943703,-55.812931,-56.953022,-57.58934,-61.021828,-63.164062,-59.387436,-54.245914,-53.089195,-53.434956,-54.827938,0.21060095661100933,0.00094878770177810024,4795.1219512195121,3404244.4973230218,6714.1197487553836,896080.40886323596,138.00621382843096,15806.085288015618,519.63574046612962,8370314.2536530504,0.080061489789005028,0.0002843578612149739,0.030802397662813528,0.20622345356501931,baroque
68,-53.098259,-42.985062,-44.748863,-43.581711,-44.164062,-46.979355,-44.644573,-47.456135,-47.428646,-51.83783,-53.762756,-52.15369,-48.153648,0.28444421671524189,0.0028802511046174387,2477.1777003484322,2539888.5503041195,6788.0938537810325,2234435.9076011162,180.05311340930109,68600.630673561609,25626.678782126026,32655716628.801968,0.04036496140631049,0.0003834185498548806,0.053667970938143718,0.27443179984308735,baroque
112,-58.169598,-61.282021,-55.88868,-58.72176,-58.544964,-58.363094,-57.387833,-60.679573,-58.962524,-57.447918,-59.387283,-65.29744,-59.740837,0.29578161675467124,0.0035542504121570434,3800.3484320557491,4550644.4778982392,7148.019249113041,1484545.5970592478,113.7960835636968,42894.705095979312,22.708315396725979,18456.778149644204,0.050259887364498643,0.00054643315154191143,0.059617534435407869,0.28192615869468896,baroque
107,-52.388245,-40.608418,-39.797146,-39.753716,-41.345871,-40.625572,-39.001064,-39.87899,-39.785789,-39.01408,-40.973686,-42.380268,-41.423882,0.30738848596061336,0.0027682235501949545,3326.306620209059,2379630.2613847442,7104.4110445324595,1594556.4472250794,201.75014701519095,92013.904473830145,1629.878209964121,76757403.315922886,0.042758919497677121,0.00038910567428321552,0.052613910234793941,0.29826818410495881,baroque
139,-69.061279,-57.646217,-62.631306,-61.389263,-58.43148,-58.778355,-56.731499,-58.402508,-59.991558,-61.570717,-61.28796,-62.544121,-61.306095,0.35812842661887695,0.0042860783501501472,3852.439024390244,2748460.9501147275,7400.8985413755508,1316993.75888665,154.28965272081484,65843.948703250106,395.46142625613072,11355018.76847377,0.036245856320170342,0.00017695085002535698,0.06546814759980725,0.34710450235784529,baroque
170,-63.880772,-59.252007,-55.31918,-57.19165,-54.704277,-58.41518,-56.346748,-55.566467,-60.412762,-61.276363,-56.267094,-45.255119,-45.04628,0.26365087444104751,0.0011777349611621405,4058.5365853658536,1798594.3740970509,6911.1312912288586,1174718.0180165742,35.155683550477441,2164.7311979247875,13.218018352080399,12238.203229934285,0.050133989063104914,0.00016365734112845545,0.03431814332335216,0.25922975101671941,baroque
137,-49.270046,-44.068295,-43.236275,-41.987175,-49.929279,-41.472763,-47.797928,-44.179497,-44.500446,-45.211346,-42.779911,-48.30658,-40.517204,0.32179992690111286,0.0036170747457252264,3468.9895470383276,1470188.1775910838,6562.7006624216629,1757170.3946743505,189.57720342159641,56060.330479582379,8624.0146116018059,6266264179.5147724,0.033877229118273323,0.00013926754747069884,0.060142121227349694,0.31099238350968633,baroque
2,-56.533176,-48.257202,-48.227531,-49.861984,-48.066185,-46.524067,-50.560017,-47.332069,-49.809536,-51.209774,-47.032959,-46.666447,-50.620461,0.28394127999148627,0.0023129202616248416,3500.6968641114981,583919.37500758772,6757.2023387027257,1064839.8401269144,198.8990633876297,52487.048334786676,46.528509947264155,41381.516262056786,0.049254213245257451,0.00021203590601033759,0.048092829627968882,0.27619606693284188,baroque
81,-52.108379,-47.362217,-46.242466,-47.505711,-48.680904,-45.221413,-49.907223,-45.762001,-47.527512,-46.440281,-43.379776,-45.62241,-40.897537,0.3363555418201255,0.0023720106436048503,4020.2090592334494,1467100.3047262926,6335.2556115481639,1371751.6461197587,272.47201956975289,45152.141337260517,271.93347772275649,1166344.7869157714,0.034106341342431283,6.7035377222476167e-05,0.048703291917537264,0.32939006086271466,baroque
111,-62.635216,-49.404659,-50.915386,-52.770206,-53.326176,-49.408676,-48.856712,-50.730831,-51.918945,-48.763447,-50.797302,-48.702366,-53.47393,0.36743889475025687,0.0032013976587410022,2878.3972125435539,1244951.4380410104,6661.5125420039076,1429672.8515777097,370.2381227953324,108043.60274984216,1674.5994151856435,110849959.13609231,0.02553618309620596,8.0752406035806799e-05,0.056580894820964102,0.35880034550769568,baroque
195,-41.860806,-35.082565,-34.709118,-32.701462,-33.382065,-39.403641,-39.709316,-45.31028,-43.655033,-42.18314,-37.390995,-42.759583,-43.249546,0.31404210136142574,0.0031363830783152882,2941.2891986062718,1061370.1149704379,7299.704085777953,1404051.2551125181,396.48843829427818,302804.7291999053,1577.8120086628046,36071215.087209374,0.034984982941347269,0.00019243159646983065,0.056003420237654131,0.30407821555516223,baroque
3,-59.403938,-41.748863,-41.633644,-43.130852,-46.075405,-47.327946,-46.212639,-46.362366,-45.612816,-46.441189,-47.945705,-55.066406,-45.851383,0.28489491024764524,0.0030103571749968403,3089.547038327526,2632294.9167769426,7056.7057833256204,1921747.0762255832,116.34513882232922,142642.70925398372,905.84626156770446,69530364.981548831,0.040936229674796751,0.0003571707573148453,0.054866721926836858,0.27432141091247142,baroque
104,-56.005356,-45.188156,-44.286385,-46.885174,-47.852135,-46.080349,-46.676773,-44.463028,-47.330238,-46.789345,-46.732445,-45.690205,-48.340675,0.2286525281118045,0.00068450683268514911,4581.3588850174219,1875932.9966370845,6584.9872123431751,1289866.9619498451,71.557454250600045,3266.224926083541,92.453286304788108,423387.61514734139,0.062171832655826556,0.00015414165033212103,0.026163081482981874,0.22569010869371942,baroque
143,-55.720135,-41.038227,-42.927952,-42.317299,-41.698387,-42.304588,-39.750137,-40.623318,-45.410103,-45.09996,-48.060856,-50.06768,-47.97377,0.34259954306029833,0.0046562540715405394,4577.3519163763067,1114940.0259806481,7136.0798524154325,1926357.9856666597,296.53962072253552,209523.36785901556,3930.6080544046054,1893463520.044965,0.040302579365079368,9.4881150276651002e-05,0.068236750153715109,0.32916296055677008,baroque
208,-59.270813,-43.099983,-40.629143,-39.328098,-39.997524,-50.319534,-46.002949,-44.552849,-47.826157,-53.742283,-47.911678,-50.132751,-54.075584,0.21537863121930823,0.001007608978218899,5332.0557491289201,2187056.0526411636,7059.8975771949408,1070323.3742549194,74.763739441145404,3461.5434143651742,51.867713576755293,66927.491926577524,0.078845229021486649,0.00028714865428763794,0.031742857121231212,0.21083875905595614,baroque
158,-79.937958,-64.846855,-76.464355,-65.484406,-65.896797,-66.410164,-66.159599,-64.54467,-70.243408,-64.590515,-66.313202,-72.767303,-66.366325,0.35549640279959854,0.0038556658109966239,3942.8571428571427,1459016.9238427076,7119.9676508473376,1174008.5353445066,56.541849442152291,6437.4260352763749,143.92132438503083,1068081.9898939044,0.033193295102593882,8.1408910234007298e-05,0.062094007850972417,0.34519471121926665,baroque
166,-66.046371,-59.156815,-59.53793,-56.236717,-58.952961,-53.064095,-56.847271,-50.661049,-52.396545,-53.809696,-51.842201,-50.586002,-52.844784,0.28346253508659375,0.0019996260823347506,4071.254355400697,2214112.7123068147,7511.8914177245151,1037678.7157269315,299.02863841355884,307806.92059833452,168.56690949758521,1155763.0844126372,0.049511680942702287,0.00030861996330446147,0.044717178827993503,0.27643650927267355,baroque
188,-47.663879,-38.995003,-43.839985,-42.985661,-42.173565,-41.045315,-43.459526,-44.109493,-37.662777,-35.378078,-35.693195,-41.706699,-41.258526,0.2766544540873157,0.002206113266224777,3399.6515679442509,2180696.742706601,6786.8574887939167,1522218.404023703,131.63596636576105,15300.588052141853,769.77255440047952,10014929.007148411,0.046509025358110724,0.00026039083447006688,0.046969280026681028,0.2689518033184321,baroque
199,-59.831913,-38.642998,-37.900906,-37.687283,-37.891647,-39.802193,-44.28371,-46.284164,-54.755058,-45.328083,-43.485966,-40.576267,-38.716705,0.26604131636603878,0.0020581813223756414,4355.7491289198606,2773895.5189452348,6849.8472825248618,1163827.2605886215,118.01609016722411,17034.30230493156,333.62688792565518,5390682.6077085827,0.054847802942315137,0.00036083757542648839,0.045367183319836392,0.25867420949515724,baroque
130,-66.660828,-66.279327,-70.725502,-71.053009,-67.702225,-70.004852,-70.14312,-70.568794,-72.955307,-74.449448,-71.762077,-71.697479,-71.168251,0.40138272220572435,0.005837744414003831,3573.693379790941,889821.89901540638,7442.2462718223724,1668630.3523896742,41.242591331090935,2756.4723527366609,1.024849640056946,44.096327651521605,0.029834872846496323,4.3218118429823503e-05,0.076405133427040306,0.3872779237974559,baroque
71,-36.663097,-32.688656,-39.866573,-37.647209,-32.796513,-32.522263,-33.127743,-38.61425,-41.873821,-39.292263,-36.248905,-36.753334,-35.606071,0.32715580668668159,0.0039462645172823677,4167.9442508710799,1208850.4777282714,6433.5575136900225,1275548.6590069551,511.13333750952597,389269.90037811483,1551.2604763774964,51537556.9467116,0.038197847101238872,0.0001561833054723921,0.062819300515704307,0.31560551430064054,baroque
142,-56.863823,-47.372215,-49.478806,-48.943012,-53.459171,-53.478977,-51.757259,-50.582382,-49.277321,-52.197716,-50.561581,-49.957787,-51.337612,0.2762604796616458,0.0020439186919250099,4140.4181184668987,2806049.3025288638,7408.750528829577,1216623.1461199382,116.24990861304177,6726.3967723220849,24.399029845239429,5981.1192801367133,0.066380162964576078,0.00027114225617017203,0.045209718998518562,0.26914106180320846,baroque
43,-57.041119,-52.253361,-54.414543,-52.671047,-56.600769,-56.775322,-57.94006,-55.45573,-57.247925,-60.042316,-59.221237,-62.045738,-59.361351,0.33670580301735231,0.0030096978103149653,5151.2195121951218,2255843.4605251974,7233.2716388178114,1264705.0569339672,20.809702759547331,537.85994599955575,3.6071773321441296,757.82497474091417,0.0466054339672861,9.8850645524135804e-05,0.054860712812676481,0.32798455995543963,baroque
41,-67.678505,-50.21846,-51.829025,-53.930317,-52.15387,-51.272949,-58.402245,-57.493629,-52.662556,-49.724216,-54.168705,-50.480709,-49.615971,0.23899403111767595,0.0023907943431364874,4255.226480836237,2228422.161249985,7065.8780944328,1385047.5364258578,55.384741625996277,6837.8419322338295,13.85054642388271,4477.8184236855141,0.06201909117305459,0.00067517985507030843,0.048895749745110642,0.22851995543800585,baroque
