@RELATION "composer dataset"

@ATTRIBUTE MFCC-0 REAL
@ATTRIBUTE MFCC-1 REAL
@ATTRIBUTE MFCC-2 REAL
@ATTRIBUTE MFCC-3 REAL
@ATTRIBUTE MFCC-4 REAL
@ATTRIBUTE MFCC-5 REAL
@ATTRIBUTE MFCC-6 REAL
@ATTRIBUTE MFCC-7 REAL
@ATTRIBUTE MFCC-8 REAL
@ATTRIBUTE MFCC-9 REAL
@ATTRIBUTE MFCC-10 REAL
@ATTRIBUTE MFCC-11 REAL
@ATTRIBUTE MFCC-12 REAL
@ATTRIBUTE rolloff-mean REAL
@ATTRIBUTE rolloff-variance REAL
@ATTRIBUTE centroid-mean REAL
@ATTRIBUTE centroid-variance REAL
@ATTRIBUTE flux-mean REAL
@ATTRIBUTE flux-variance REAL
@ATTRIBUTE energy-mean REAL
@ATTRIBUTE energy-variance REAL
@ATTRIBUTE ZCR-mean REAL
@ATTRIBUTE ZCR-variance REAL
@ATTRIBUTE f0-mean REAL
@ATTRIBUTE f0-variance REAL
@ATTRIBUTE entropy-mean REAL
@ATTRIBUTE entropy-variance REAL
@ATTRIBUTE harmonicratio-mean REAL
@ATTRIBUTE harmonicratio-variance REAL
@ATTRIBUTE chroma-mean REAL
@ATTRIBUTE chroma-variance REAL
@ATTRIBUTE composer {bach, beethoven, chopin, haydn, liszt, mendelssohn, mozart, vivaldi}

@DATA
-69.859528,-66.051208,-73.19622,-69.570816,-73.083786,-69.595039,-69.760368,-68.248848,-67.470863,-72.976486,-71.612007,-66.421829,-66.719437,3142.6829268292681,1827855.8681057196,7590.0937795842101,1535734.9404723742,617.45150646478498,426619.79691222135,15117.682581861534,35324199736.078156,0.030664743031358885,0.00010008901622860998,329.64089965524943,17496.074282322716,5.1546285457958145,0.084832812420475689,0.10198257118463516,0.0,0.17220509,0.10006972,bach
-59.305279,-35.833187,-37.510422,-37.249008,-38.031647,-36.214848,-40.525841,-38.614964,-31.523489,-33.597389,-41.217739,-45.51981,-36.931664,4404.5296167247388,2176442.8972064732,7008.8382235182562,973757.46732574701,119.28897182308238,56611.38058225967,625.29988360976131,10427521.898847017,0.065288666279519944,0.00020999854419115858,444.10146054730507,44573.309038328262,6.6164013625945044,0.09398836551082812,0.63588857650756836,0.0,0.350586,0.1501805,bach
-70.013443,-65.500595,-68.651527,-64.474884,-67.25956,-65.344292,-64.148392,-65.253128,-63.970272,-68.904442,-64.553612,-66.303047,-65.488739,3768.1184668989549,1232441.7560004371,7067.2786040562696,1668758.058599876,667.23350078672854,649223.35511182691,246.4245223586413,1971527.0393675577,0.037128656721835074,0.00013134269737665992,385.05593074867994,29574.67667383514,5.3454036142214107,0.073138375882655982,1.0789608955383301,0.0,0.15879495,0.10509019,bach
-56.534859,-48.258812,-48.228848,-49.863064,-48.066586,-46.525635,-50.563503,-47.331558,-49.810661,-51.203701,-47.032749,-46.666889,-50.628216,3500.6968641114981,583919.37500758772,6757.2012329337858,1064842.6787272792,198.91776010835997,52483.607763893975,46.529703221827937,41381.424348134875,0.049245895639759972,0.00021191886970000864,387.21119375963616,21495.013538145664,6.1942271117410872,0.13715995931891822,0.73791491985321045,0.0,0.20607504,0.13064548,bach
-74.469742,-58.869854,-58.762001,-61.066116,-66.63813,-65.903648,-64.765251,-61.391953,-65.219734,-61.293495,-57.296833,-56.770855,-57.194756,6006.0975609756097,1781591.7396107761,7231.8127975434327,1671903.8096766078,33.366271648303602,882.86305181045293,2.324715550545954,144.45049849697531,0.051542688975996905,8.1797291126907849e-05,448.0062780465168,79593.764693863079,5.563265191645665,0.049327514923079616,14.302365303039551,0.0,0.20632271,0.13241094,bach
-66.739304,-58.561825,-60.056759,-60.244507,-55.45377,-54.892109,-56.2607,-55.370789,-60.23666,-56.462776,-61.62772,-60.297546,-55.179451,5232.2299651567946,2481583.1805655044,7357.9548861584462,1514010.8360811186,110.35554233762214,30122.852423200024,31.114570888450817,52305.834583649121,0.051338151495354242,0.00014222152705370872,476.54082791472052,30485.11925992672,5.6835001252484885,0.18377712780436187,9.0062694549560547,0.0,0.18050805,0.13213249,bach
-47.256428,-39.466648,-39.095688,-46.061234,-33.424088,-34.969429,-32.121975,-38.617355,-34.876984,-38.961891,-44.646671,-38.632107,-37.626518,5306.0975609756097,9534396.6176595557,6316.1531359074052,1155045.5075658206,315.2907279647232,318020.45805920509,1456.969960786397,109873614.61044547,0.078114035883662405,0.00068225065845307887,383.44274860696646,59037.43533902894,6.1454992750288211,0.068260954660434831,0.28681042790412903,0.0,0.19600256,0.13055223,bach
-72.766685,-59.61776,-57.211746,-56.342533,-56.52462,-56.058273,-55.465427,-53.929897,-51.27533,-47.233498,-50.438778,-48.205574,-49.866814,4506.2717770034842,1994072.1630710582,6683.9448530468144,1118799.5112969449,89.063313240050533,6774.0692152968722,16.971497791687462,10496.945701359877,0.048725667223190092,0.0001239291347119328,423.17595633027906,33493.749501093189,5.9143926756722589,0.045272218098666592,0.78578060865402222,0.0,0.19999191,0.10656501,bach
-68.280121,-54.336739,-53.220074,-51.124275,-50.309017,-55.734417,-59.897865,-56.11092,-53.398544,-59.764114,-58.725346,-54.458298,-54.983086,5031.8815331010455,3884462.6619237824,6940.3033924110168,1229250.3207509448,67.611015136343212,4631.4358117696838,300.49311643493326,1887295.1241788492,0.077527266623112656,0.00036333599642026938,415.85624507264578,47628.87689399509,6.866850488923383,0.067634444516264006,1.722919225692749,0.0,0.28383845,0.13262421,bach
-57.050377,-52.253479,-54.409569,-52.670444,-56.60881,-56.783817,-57.944431,-55.465542,-57.243698,-60.040749,-59.227741,-62.040936,-59.369572,5151.3937282229963,2255224.5383578767,7233.2657316165796,1264708.1156358782,20.75895686775873,513.28165289296487,3.6072841648209701,757.96379407531526,0.046614885791715063,9.8576158566717766e-05,486.08572915520631,54551.945319066341,5.1858802432474871,0.14678860095518093,2.3619921207427979,0.0,0.26825336,0.13815551,bach
